,市場平均,配当コア25 年1回,配当コア25 半年,配当コア15 年1回,配当コア40 年1回,利回りだけ上位25,トレンド条件なし25,減配歴チェックなし25
2022-06-29,2.005668652963852,0.9504878044101498,1.078026599965806,1.0097378551155431,0.9444746297877902,1.243215961028554,1.16290450379891,0.961438590832938
2022-06-30,1.9861390282966245,0.9389895415932784,1.065787209744966,0.9984452608095902,0.932930874158611,1.2393505040461015,1.1569510812259767,0.9537820985262645
2022-07-01,1.9606229326494964,0.9278765254336521,1.054525271312773,0.9833832042881014,0.9230280059076015,1.2259304963644853,1.1452622925007332,0.9419799225964776
2022-07-04,1.981385048148715,0.9373929666396764,1.0603632297732215,0.9958736483891649,0.9314232582982982,1.2370833414036948,1.1591909361785522,0.9498681569371145
2022-07-05,1.9899457349766967,0.9423339956440302,1.064621676182197,1.0024230783805965,0.9360722831939192,1.2449390375285012,1.1656361724543125,0.9550715867341787
2022-07-06,1.9755377900443523,0.9301875355202945,1.0424142733617303,0.9890789624340096,0.9241856230043587,1.2258320071713258,1.1514447628071454,0.9428726753108609
2022-07-07,1.9930782608324225,0.9400279390578248,1.0462805211637456,0.9984655038747644,0.9339418537336857,1.2330445118481228,1.1577187461049492,0.9506206963379606
2022-07-08,2.000891145737317,0.9414776029647645,1.049345504837116,1.0025879920099885,0.9355119341958043,1.2395700931775673,1.1591937010567879,0.9541042587703317
2022-07-11,2.0269219219929893,0.9560176079570507,1.067736834515056,1.0152279179687518,0.9502766423413836,1.2566349609382688,1.1763919790562438,0.9681726602216171
2022-07-12,1.989151565614099,0.9396685677998649,1.052185068923934,0.9974044868351203,0.9341147945446063,1.2423257312301437,1.161770518068279,0.952586178386832
2022-07-13,1.997426448867558,0.9423430863245089,1.0522444712582317,0.9977763305273342,0.9366711894812795,1.2425892456305465,1.1624270073511047,0.954936985329021
2022-07-14,2.0064527250740194,0.9469499463313547,1.0543666126983928,1.0026696729441056,0.9415725772116047,1.2424016040644608,1.1637293391737316,0.9596903760990398
2022-07-15,2.00278739005759,0.9461819369441351,1.0512571076886912,1.0028772053650694,0.9399162737253203,1.2408903497035582,1.1651945772424337,0.9607171061764137
2022-07-19,2.015394219161148,0.9534069415793464,1.0592176979505967,1.0112358937597368,0.9477075022999865,1.253965647401578,1.1720845666997621,0.9678344576808009
2022-07-20,2.0570976837728954,0.9712934011716281,1.078588860121449,1.030800608888778,0.9657630859504108,1.2704878623267761,1.1906319867094206,0.9856227632031375
2022-07-21,2.0714449766446283,0.9757442074586348,1.0836477396445034,1.0354160106643024,0.9704046465684667,1.2728898210879822,1.1944688811618827,0.9891644227332993
2022-07-22,2.078245506080647,0.9785722360653595,1.0838860802799937,1.0354517683319875,0.9734397687384461,1.2707310195008075,1.1946954442814344,0.9903463822630431
2022-07-25,2.0677226189105524,0.9769682714295338,1.0844150891463367,1.0325695807494126,0.9714824267393796,1.2732563223888531,1.1933014219954141,0.9882702165657352
2022-07-26,2.073349684636289,0.9796289797819494,1.0883222414662737,1.034163370532879,0.9738780671708854,1.2754392259052652,1.193348492097199,0.9909308350446564
2022-07-27,2.070580244065099,0.9774004263823873,1.0875513299951616,1.0341974842886161,0.971784829299002,1.274400668541916,1.191479323616081,0.9881213769167614
2022-07-28,2.07756785260506,0.9784425973240597,1.0930374342565314,1.0370224831132424,0.9724120857131577,1.2776119952762797,1.194652219988689,0.9901472808213546
2022-07-29,2.0673158631386914,0.9711506208276273,1.0859926470279984,1.0290105833728471,0.9649072845848301,1.267865400244295,1.1881139292356853,0.9849326525602531
2022-08-01,2.094884904528579,0.9918935157225282,1.1027825381191827,1.054012239787324,0.984955373973125,1.273736220312727,1.2053310404406965,1.0009885254708868
2022-08-02,2.0644411886111533,0.9790507544658728,1.0834049553298446,1.0411665200636309,0.9727167185344365,1.2556253576408505,1.1897171301859895,0.9897939542704194
2022-08-03,2.064360353770661,0.9804504660605257,1.0797216827335407,1.0461221195206023,0.9744050514548817,1.2563017040401885,1.1881384218807445,0.9908722561340249
2022-08-04,2.0708485010688946,0.9790136940188959,1.0756720987581259,1.0468631205110133,0.9736219534271235,1.2513314511145335,1.1877860077232711,0.988301323329348
2022-08-05,2.0872751459328347,0.9838451157994188,1.080777614005707,1.047100688699881,0.9792544248384514,1.2596346395170792,1.1917328387683406,0.9914613831936578
2022-08-08,2.0905731457999557,0.984028411935372,1.08588650732625,1.0493971018913777,0.980444061117658,1.2616239195612002,1.1927364077916824,0.993479887252729
2022-08-09,2.084028851159361,0.9814892643929984,1.075490695990863,1.0476137813700104,0.9777219497735157,1.2547728778867235,1.1850787324663208,0.9924048826433353
2022-08-10,2.0758647843419142,0.9824462968541371,1.0751378327481125,1.049411803031507,0.9785076036591958,1.2578223179014763,1.1872430022364022,0.9969534449204888
2022-08-12,2.1156562882306638,0.997763660675578,1.0929466702518347,1.0625252681450077,0.9942551132709119,1.271559232581039,1.2006088628731915,1.0111360396491114
2022-08-15,2.120361587580652,0.9974762336407406,1.0901201026021214,1.063445390969483,0.9937959379783334,1.271928297523431,1.201012440512031,1.0113014998536365
